bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140
MED-666,64760.36772196441,99725.70423707747,101126.03649644277,291697.1514296076,264550.73393270874,238059.08602476303,45476.83136533177,120131.97336606744,90084.18552744835,23501.833195668172,22850.310729187302,4093254.41960294,156755.01919008463,612922.3239313095
MED-667,59663.60902297157,297723.64727983635,302066.0920812158,590856.7839151475,363781.69941530295,33752.44331469765,5237.009415333833,15418.961790903912,27.262704565030145,257.0480224771452,154518.6038234758,2894560.1524761743,1047506.3930662377,443139.03742001817
MED-668,6992417.214698311,107121.36376192377,110046.49869331879,15167.644372844328,61788.59310431992,1444597.9553673924,236960.4140507318,707507.2256004681,58072.6702229515,31399.294406592613,117767.68764272016,207767.46052914235,760742.7913091945,31046.294866795804
MED-670,889372.0979832731,2510715.693920036,2505158.4773999793,4209757.017419097,15504531.420626307,7039723.705667424,1239158.744475449,3363586.7370246537,1117.8012736211751,4635.633600681008,3192295.884459715,151215.02023068006,18957716.032103594,22510.67722789785
MED-671,1685.3320443509385,1968.553148172118,1541.5181780694988,87.40956906798648,4467.194590487439,68352.0146396029,7790.86867123522,26176.8460059819,5414.522901104339,8484.887749980817,1318.2335325318659,3194.473760185856,7115.724981411888,651.6894671449942
MED-672,7779.512650592384,9458.418787946694,9368.824543380348,1194.7211013948252,4124.2762923012115,7020.984388557423,505.14272260531993,2631.337415562593,3066.493990529068,2210.61656031419,6954.665195130753,39181.61009151313,48636.02295520463,5624.673925622909
MED-673,14214.916323018628,186778.99686270673,182710.40843135444,1698221.693168105,1295338.0430334348,20522.241132977724,4344.669635267363,14544.738796693791,34294.018042222866,43081.494492180434,27181.710098186686,7676651.745482949,178745.7282658374,1128443.0748946015
MED-674,1043536.0402320302,37643.3532308481,34507.51794521913,64683.81986009991,91732.55438827537,8135082.906896933,1369471.5871136568,4041678.388676883,1225.7430358797221,2031.5650724689215,22855.139552840435,466948.7533359201,146164.86397206987,86764.594727433
MED-676,55478.546785145576,60055.459702984925,56062.57354252258,31922.217997670024,55827.42172483746,24943.788945147473,3883.8108763784676,12355.84539190339,404427.61859548365,206196.28641339886,45634.24375253474,2871794.6561532584,309995.9945486674,427674.10838382755
MED-677,263318.71750782756,376388.7271973425,374725.55385734065,847148.1010623493,6381003.678892694,589654.2608189182,63649.31336591821,255928.10331975916,965.9459006706328,633.4174721562349,200578.25463932494,60664.23682114253,1187909.4460896223,9307.582181913689
MED-682,23123752.064375516,220811.22328621772,216625.9719844888,241877.50938234848,227937.13902764596,2790442.0099627962,462178.4111435635,1390054.0756500473,9337.403390337628,17090.53041441003,91638.10232784729,529842.5041119562,585227.5023722729,86791.15766781292
MED-689,170648.1578216989,69241.47657384201,69632.40993649571,1114993.8347587942,668097.0548340147,188009.67450716734,28235.04885592849,97390.45605195033,527.5194084093489,2508.299125773602,45587.446970579476,949955.9980494725,333098.16642530134,140275.54376192112
MED-690,4048.980223433926,97165.97613576693,97515.91363755733,85873.28815660675,88041.19863913754,5528.529501884108,634.7621214498872,2725.390393448779,129.02387452087459,33297.00739873794,20817.092396198434,273929.9793274492,129375.14387533865,37039.54487102608
MED-692,60404.20503539664,26561.304546284213,27180.887139555394,4214.47137664194,12922.864571742502,60185.29690646486,9625.910426051525,28565.319143607638,4047.59800038647,24225.80401504557,30589.364878718152,20670.734186070884,180090.4713009288,2772.6377715343788
MED-694,6547016.541650857,724.000793068825,578.2762608227251,335.4500757994946,1850.980419400435,386833.502365379,65157.19176558183,193244.8291961597,678.6994911034858,361.9947927820397,229.86605602200603,1798.499927556125,4148.7958371474815,353.0619346687964
