bin,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-79,428.7952450775031,26375.038783939635,1318.6379621109845,2390.360912008772,1134.9372503840245,4516.8320554759075,285.8535714162813
NAT-8,9452.289332527218,16005.4891145734,18913.65022653425,4770.989117410832,9722.490609692159,41311.218077956175,27410.291927958264
NAT-81,51970.92138636686,6330.111159256805,59011.80773692441,8521.852754737563,6684.354225117422,119202.74856388742,9010.4249293787
NAT-82,116565.36626365094,65964.5092911823,132533.4341817834,134933.77351277956,136112.6662801146,168653.6719712261,71918.84414664251
NAT-84,3465.0160001269996,4926.810760623513,3913.9166904521576,6593.3966630245295,6728.481402753713,4537.7269667255305,1560.4992312369966
NAT-85,4402.2971545778655,55942.75848863496,4396.4688887451175,44219.32372730012,71104.9895463315,7945.232712701325,1084.4767375627541
NAT-88,49.87684729064039,1541.91565912244,667.3665915701339,2485.3024153200035,595.6771595431355,249.40778756893607,49.87684729064039
NAT-89,11589.263030327327,11566.207042909511,6129.257913278121,28465.77809024082,21408.162915232493,3069.696556748863,2549.829548674123
NAT-9,591458.2608319331,377998.98818322056,639043.7509378504,783900.7447420493,613125.7000258386,2027612.4315814623,180707.72865871649
NAT-90,1544.2912714328909,1324.4623058068946,946.5535342805869,1005.0052759927854,3046.8471410316847,1098.331738326267,1247.4817935381927
NAT-91,1209730.8411257775,3289403.76625501,925457.222923049,2376001.707343613,5626528.8025913,3516560.1625057417,1139709.3505940319
NAT-92,24174.572252955273,55132.8206030281,86256.49431609335,31096.67737031916,40246.13433234896,351178.4098474507,17106.746759888654
NAT-94,132440.06063824982,964475.7484304779,209035.02981393258,364856.7359775981,390507.00663168886,53307.815964495814,96218.28607188366
NAT-96,299.7230808318472,345.5541426756191,49.872122762148344,1169.460501093164,0.0,98.79795918367346,0.0
