bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376
EAC-623,142531.0669961594,733.8363909452287,360.30220502899374,78.83101851851849,212.95442544089153,5770278.99457322,468064.9608862007,5707109.337146396,10668462.188625876,5289846.466224572,17959432.64326829,469233.1445043366,5579482.787463678,12262239.968690256,30336751.766971875,1067877.2262787216,304.86749043578874,0.0
EAC-624,1035256.0032115936,5066.95448259639,4744.658710790758,80.08014827170788,0.0,2858392.7008519755,1202342.797802777,10706860.166587485,17965365.291696567,7463314.248579289,18129138.568068188,1206881.6475357304,2787848.9075097754,23726934.059584633,13951285.658038767,2598473.430601031,753.1425757143254,65.1596899224806
EAC-625,15425.172545218751,6419.676109870972,5604.641080457908,61324.433009304696,1916.2600987639814,10511.54508253561,3692979.3007651363,11973.73522378295,31380.39839563882,30455.09994330458,46178.72770611369,3791234.754955623,10418.841706714977,29025.84612984011,46889.680999417746,9056833.953066265,2066.2955698551145,1018.2314836607518
EAC-627,109.21947283485746,32.62787015043542,19.98411437648916,37.61526295048636,52.52512631064266,214.7850971545708,548.7615898220026,564.1112777938973,616.4050686717004,718.1689209662801,2607.715359826045,466.43528775373807,174.67627029488585,1622.50032930298,1702.5507082527483,1758.3717884205307,0.0,113.74914672685959
EAC-63,3037.2117720821566,330189.8457761395,336634.958136107,182565.86177299783,200894.11343085708,489.05838552602745,450.9910013264811,838.2432505136243,4483.027097894649,9254.883534414712,10977.55563537636,440.7224564361979,411.9859230985743,1427.4148352486534,3253.730486889419,1444.5171049429066,859477.0414798517,590136.8416930429
EAC-631,1138.519760104338,54969.02823305345,56767.98713752558,471095.79544543114,189206.37550989198,809.3274585064197,834.7314293667464,1178.7250457528703,7252.292772976354,5444.2970913242925,11172.827895500703,329.82551055930736,707.5433935327567,2488.9327647394944,6286.94728898945,2030.7953874570505,36132.282048822635,378879.63495187124
EAC-632,1828.6178051907477,2924611.302361689,2871615.494076746,41122263.49116094,88644192.08034487,1368.9038135049414,1076.627089429691,2785.6268980285327,10181.049379921687,8505.187684826347,11738.173727365105,1297.821410865083,1239.5637852649434,6136.201241395056,10451.397940163039,4485.39719951126,15948446.547542317,20248656.533097144
EAC-634,4673.5390716178235,186462.09921269157,184348.1999096459,1710230.738933077,541412.6451558572,533.6385606097982,543.6078925016661,1511.9159604107986,41167.17980240169,42759.67980192535,43217.001340754636,1089.1327038564177,723.9081789488469,3994.013665958401,6812.666240849996,2562.323039434532,136813.34568193546,192039.93926665504
EAC-635,167.7668269230769,214.51632895062124,55.978569764733194,65.23969824335185,64.56046997149426,46.08362082639381,185.3353667695819,426.78269924124163,739.3012288557406,419.9882972632222,1878.5105719376968,317.1522039440972,33.79095441595439,785.2808692287739,840.1066673282677,1162.9832664050118,61.205133249396624,78.19782754270494
EAC-64,493.93050999177774,12786.450808923622,13967.743886451488,38458.93064132011,8028841.133548129,8739.592980664253,2748.380483727219,6406.805331734398,37479.34085210719,36782.115477030195,51229.07546636524,2171.1326635496484,8583.178365469415,15682.572667840795,72635.45393478843,7282.428890248228,461962.6878907053,1505639.977761778
EAC-642,2615.2100597524627,59.54959090909088,0.0,16.206718346253222,0.0,373500.90343050146,5555.874092280142,114902.86041668573,3839990.9816243253,8477745.360026298,1460984.0684611592,4252.382946754022,370939.8943618281,251831.22115479634,1885789.8272955718,11561.526161820038,54.752004861125805,182.06644554265785
EAC-645,2568.5622479561453,35696.53868219342,37796.237123876075,134537.46690620028,45042.96794394716,752.9903631159956,539.2670795036196,1031.5346409645508,7479.197409269723,25575.209660309883,22844.77069183315,655.716961172774,779.5273486709888,1827.415711075628,4859.834468276287,2251.188547228136,19995.013221003464,48811.66743739136
EAC-646,244417.55406994096,1411.1050212984792,777.6061871476381,4226.39254820974,1544.8271260824536,3057403.9231316624,500805.1591387,2252341.523670432,10255514.196808511,10612461.06534514,18448741.825297415,486870.6476729293,2996272.533595487,4946221.2345980005,15144847.720714368,1068189.1047888384,607.6889597752196,558.8162227100737
EAC-647,40270.444405034985,580.4246430600776,179.66492860175688,106.82191746396448,82.91496380753532,1252727.4467831776,32465.405870865212,1014374.766082311,757114.3076693256,2415029.6400760273,1555284.465430153,32738.535432468074,1139542.2235267523,2063176.9700849208,7690301.939984194,84803.19043360674,91.42931957110994,544.1056302110794
EAC-649,30828.34655080981,386.9155080481838,221.17534499998868,81.00989731934162,443.3430367575021,653003.9328150834,122742.30832939902,332963.44338744023,10666436.221233029,3232874.0620052842,1989149.2602740887,125969.82070220904,645574.6479640197,755108.7352972066,3169938.827176411,252611.38603744848,562.3161045474253,121.89786127948088
EAC-65,7382.869176841709,105.99490121968499,126.01949062491771,112.39273634183247,165.86018996391195,101147.54596160974,23310.566606293123,103087.39330951356,3661262.9671798213,4809791.811490584,5219952.014721994,24768.25299002218,96426.79401111009,214355.9155480376,630124.4529202458,66104.66666107357,233.21887594175305,92.48104574890942
EAC-650,58906.8525361345,7855.952445061848,6994.581817159627,2401.93598459125,7700.538280003719,1323015.7385362391,45329.79078817573,207631.04185053855,3655193.4588081934,5556014.621602485,9936995.425428355,43855.305722773155,1291008.985750825,473400.05148879596,6322811.330180008,100360.64514047629,14814.933249191508,8106.727857398216
EAC-653,8359.168587530481,2867.4540779413683,1603.2504095441464,7219.139498518104,5299.8329272033,613149.5371864189,27442.422435039214,567637.4740684868,9342437.632463608,10914631.342940724,17595020.738947082,30912.683948538564,535603.3384132611,1147133.4544854732,4710149.782419469,90779.26686012269,3578.146595429163,3878.133359064052
EAC-654,108218.97193654183,1355.4228742550888,1236.2979015773392,2469.130621785881,1485.5730471797206,1584811.3672941905,138039.51657598114,2701199.5396045265,562746.3636522847,392843.97564367484,582270.6143146554,151592.59534217365,1568649.095847061,5816940.464014585,8026616.724790582,321580.1158430179,344.8326943531879,620.7171951940263
EAC-657,39579.28657552584,987.5032468195224,798.5927118737762,901.9157424739167,4111.604237674089,477739.1948859352,21468.69752807445,592714.5540313495,8118371.241620365,2318254.2276356905,22187286.692170594,21611.907201939746,429895.6835571839,1322643.3246435386,3339124.238540809,59842.63414113461,12882.17602636892,358.1369174045555
EAC-66,5601.928988204794,24146.229362893533,25168.03467406812,33516.85726165119,20346.599498720978,4216.953050380437,4877.02456321763,3093.467957835679,10051.856602290374,8075.053697452545,13089.212224171719,4698.999104599227,3482.962472451829,7200.598034846674,20674.786679121193,11107.955677389078,1730.078169081037,34181.17997191446
