bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-605,2012100.3188371526,1297341.9552505238,1246551.4507039161,3204110.4017418306,192127.68190335663,3295459.656441461,201388.64890135473,686155.3499446402,4821426.299326961,768383.8623094971,3588778.006848536,2152634.9347443427,4355087.269732011,520650.81905885437,2814787.6315276413,10056816.680510812,1713874.8469993393
MED-606,962215.9198178089,412243.517975395,402515.53435318434,367344.78549202177,25656.946804849274,369670.98586002743,26976.402734481762,38287.694020408664,235958.48392124337,164998.43206407895,382317.96958666045,208344.9164645344,473386.4543375054,69725.67457459282,350241.70696863765,1150977.1847852867,196166.68357480294
MED-608,4828.33842130364,17277.32713759358,14145.17471336717,3303.1891810184293,389.17219675687596,2608.492019699218,342.9978670814762,10382.156503111857,58370.332189926616,139.30023556741062,64555.00637737283,48.54428638775971,350948.03283151245,2265.07286078989,10529.546082926157,150601.97761075012,29312.46517968781
MED-609,8399.677109022186,1401.6671186640117,1512.4175415497675,254891.96975136653,30880.867099785446,236986.38870080424,32904.60187930954,5958.033270730048,33068.17154783896,99.36430523082801,21424.80216905779,11044.841964673009,760.0318774412766,20133.214741362957,100847.1612435201,105379.68190560784,19547.616102989716
MED-610,51858180.00266777,102115.15577859341,102658.99925108699,8907.540991951182,1147.7878398756834,7894.846897743367,1056.2554933430583,378226.8141203712,2227974.5132306856,11656.017419651771,15619.663715760624,1026741.3285141401,172474.43985927996,29984.654775477306,156306.99393162504,321072.8602637691,56558.78354703507
MED-611,9472276.340275189,321215.7183059122,320497.38705300324,120854.55358919025,4660.874919822025,47951.296616627485,4442.554165136418,4633.202920254567,23158.834087334224,18452.015028521386,34133.75055307577,15472.94109775878,201261.03676835648,11383.021267751443,54244.382454696824,276908.1406026957,49780.97174196853
MED-613,65301.29536186722,171792.20796663457,169213.59217095672,1976550.480030486,212380.37160968734,1913304.560190519,216414.00995481576,43166.65657011961,255461.0514318584,5095.246178920302,23869.032978461004,18312.983772247248,25780.075070330087,724111.2165405871,3495845.2395404717,3084571.6604230003,544865.6624119029
MED-614,10893623.76952038,257579.79516306863,245098.85983481343,328209.81922626856,28709.967938973987,337661.1548812572,32076.554191674273,23726.11503446763,155639.20594322452,2093.3871274534727,8966.555115495452,13741.758186097619,57497.55494810676,26444.80042546104,124609.63145902094,95266.45572279449,17181.954222047523
MED-615,8276413.13915756,1006757.9428653745,1003333.0180429128,491119.44640611793,65571.21686583383,449008.48944910016,65460.29906787375,40375.97774448209,239044.04729052508,1003.0501835939941,5299.802632724352,405.36368352582855,222.70225208053716,278196.72190331854,1332525.8618619635,517339.8492710314,93921.54129890412
MED-616,10010773.174089234,570558.0113195118,578404.0402416902,610224.9793886786,63969.966151825414,591706.0695573405,64200.73448207812,126141.85869852638,801138.5745139839,1945.4926130977547,10974.48306829103,8350.615561819899,754.9765387728412,197629.6833662808,971633.9577960536,709640.2848401368,129844.14905506211
MED-617,2690587.109678368,622001.3567900521,611841.1070255166,243659.11438932014,17328.98384730564,245416.02729672877,18124.550594846038,988064.1601870827,6217495.939912371,584.036221363903,392.3953214122957,28.218083086504116,302.0439638002224,200760.68284405442,1019281.8061180584,3074833.317797514,521535.8964999786
MED-619,4826234.9281719,527189.2632214184,529346.4096027398,182020.69607085767,15295.918455175406,176228.37324255222,15777.860746144575,14347.177080155703,68247.89235806458,836.3504454098247,12243.841471028614,129.46127669011344,2173.923787221229,30880.27504516731,147329.52577430915,89916.7219213236,15647.227323452029
MED-620,1683862.9905857975,1729566.2539061806,1697694.6954581006,1188032.9904155054,182342.97541775613,1081245.425926629,183930.37988973723,15284.011153053701,89570.89735134886,1129.916587391302,6693.957064943968,1583.8715018926196,1810.031931354364,104030.93526453032,481069.43519845966,766543.7926474323,141283.9288730106
