bin,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-26,249.45870111935352,647.7183510517267,846.0767247614326,1206.5931871414675,643.2843894178853,1683.8337820398328
SP-260,1197.7372111686916,49.88962472406179,660.1664693481943,698.3842929162615,2217.9439534477056,954.5106739110225
SP-262,1540.6581711895076,99.72222222222217,714.9062263793973,193.50639735109104,1072.556341170196,49.87179487179487
SP-263,4449.489327349915,2671.5000592134975,6093.90379360549,5281.7508392837035,8409.946719470769,7029.910068496124
SP-267,839.8300100047749,0.0,1075.319565020512,279.6822999346251,612.7375276018773,99.65078475336324
SP-269,726774.4008477151,404302.9317163693,1431512.5483628847,336215.8391540016,583347.3832940488,449695.97559350624
SP-27,1531.997589839183,1142.7775607505293,2897.0929126753645,1973.5475481297126,3515.860129877645,1646.9367067497853
SP-272,930.2518911659542,99.90196078431372,1039.260780906757,248.97051870393545,3163.2326397740476,149.8529411764705
SP-274,15684.020265739584,4717.79872724374,17753.915920614734,12158.780348772205,36750.67764287466,16080.142066795204
SP-275,3145.6730368675353,1841.8095204107362,7662.413973626407,2682.91218498568,4875.035075476427,1373.8784255992596
SP-276,2720.166350538819,0.0,4876.201797098936,99.8089260256613,4374.551743123203,214.7051432852208
SP-279,341.598060873834,66.58926728586167,397.22921493137255,0.0,692.931785427351,70.48453608247422
SP-28,5132.582852870504,9188.746504183107,16167.507395651639,12819.718897408624,11569.377107378414,10920.341034345809
SP-281,199.31637426900585,49.96637525218547,147.96572181997175,0.0,0.0,0.0
SP-282,0.0,0.0,149.63668733814904,99.78448275862067,221.08183430219822,0.0
SP-283,0.0,191.46205725708978,49.87373737373734,348.7810126409861,349.42780438922404,196.74836755614618
SP-284,243196.3100600426,21196.01520426879,546897.2003201025,21042.947059656744,429434.6516828358,27365.14882297782
SP-285,1840.0491231975575,99.72998302563192,1109.850247415685,164.18307577268195,4136.778421869656,364.61572147126566
SP-288,5045.878446990529,26254.29998696855,24122.1616081625,27815.2900167061,12024.177894961498,34618.20463662091
SP-289,535.5119678637125,0.0,1195.8203189431938,0.0,2821.256984523992,243.22402538540305
SP-29,0.0,463.0732113075286,1983.8931045005857,0.0,300.15147090971897,292.0821620958457
SP-291,5589.1453158311215,28848.337860800548,72375.50305479749,18163.95020203279,6882.625827181284,17551.380241684456
SP-292,0.0,99.61089494163423,355.2931659023974,0.0,1524.6356361492315,99.51456310679612
SP-293,255.33888888888887,184.86666666666667,584.1,301.55555555555554,1467.3835001188581,681.5132286527348
SP-295,2280.1390255432098,698.9365093061289,2857.7057628683624,1737.1497762969652,4019.518552056508,1194.2938191787841
SP-2970,149.6160299432111,0.0,3474.8882552021482,0.0,524.2911787809352,49.95475113122167
SP-2972,0.0,0.0,609.4846521717465,0.0,2282.2401126127706,89.395998266966
SP-2975,272592.0786270689,47587.80033500443,176235.8830393344,169514.31640472854,213701.45026789067,75852.54800837385
SP-2976,0.0,49.620031298904514,0.0,0.0,149.71048235303007,99.90539262062441
SP-2978,2399.432901625285,865.5086598820145,2671.777963393853,1066.2328474140518,3672.9373654043725,848.2555066454341
SP-2979,25977.55830268739,12273.086977193148,47735.04097028153,11550.038144851027,35484.13778588555,13961.682198561606
SP-2982,19226.503545313702,5600.159847033161,83454.19237379103,6227.392268994572,4633.054782962272,7606.160007831462
SP-2983,1436.3738409446423,0.0,575.5332615253045,349.49147973969497,36272.48237281522,590.3477749636687
SP-2985,20492.639406830465,51469.491295223204,41026.041769053176,134875.4183231556,50370.15354903506,166893.8478273755
SP-2989,149.57999891120897,299.7333246721737,5577.032407263128,0.0,0.0,0.0
SP-299,2253.340253938523,49.963976945244916,3445.364735571594,199.70779404459375,8147.083374190862,149.8154466633199
SP-2999,1305.5816504258912,2147.134559156307,47543.65182030876,1653.4465428162755,1806.2734503431923,4051.980884206002
SP-3,226.92854721400394,199.65706862115616,822.2119174556506,49.82142857142855,265.66540881295214,298.97185329736885
SP-30,2310.7779481489397,149.53133714730555,1697.7064525916498,945.0956251065248,4239.321062878456,1551.6919767188656
SP-3003,255239.60298291722,108303.78063532035,634481.132877563,61661.86441881179,280723.30323663465,49418.97028562186
SP-3004,1251.4459049560735,94.23696801536376,674.0617269208693,99.68152866242038,4722.964408230434,297.80878274109347
SP-3009,0.0,710.6378876863371,199.76710157297885,88.40410204254596,99.65517241379311,199.5411981152418
SP-301,9340.819654044455,989.6452089217854,13827.786490629656,980.444973782362,7866.750714279256,647.5388899283917
SP-3013,1204.3400080339,3031.3180700841694,2600.466652825361,2459.3270437231927,1158.70922144144,1217.7978409054997
SP-3014,498.34953437416885,0.0,49.999999999999986,145.39565627950873,1677.6021525306842,149.82578397212518
SP-3017,150.0531987827239,226.34204297840864,1196.6823259509185,0.0,468.824523642892,49.57797619047619
SP-3018,2025.8460316684482,692.9202515375251,1968.6434434548705,1365.5601508983596,7087.102537806711,3245.1794503758065
SP-302,5442.410933798562,10211.229660628613,15350.60477767752,8464.285864699486,2661.830794334743,4168.2643770039895
SP-3021,220216.09002407224,125786.08476107033,570469.8613702077,176318.05617697464,330162.0855843043,159286.72096144382
SP-3023,547.2450912364682,273.22822072449424,740.0613535189767,101.6161616161616,1343.4816991048083,1367.6366743813169
SP-3024,99.96924023377395,0.0,1356.019517451784,49.739583333333336,5327.355520403536,49.831081081081074
SP-3025,356.17329255861364,0.0,1620.2882525807845,0.0,1339.363129708205,0.0
SP-3028,348.5474331926863,99.9606608969315,298.4174643308651,190.89255396555902,563.8357010839513,178.22615219721325
SP-3029,1627.1184406983737,49.6875,2188.142452388724,99.76635514018692,2933.895638634985,249.55152023652562
SP-303,0.0,47.946368715083786,0.0,149.8324022346368,1124.94724093193,0.0
SP-3030,7969.979507092487,23867.16734683027,39501.15152679706,16869.698935665456,19948.770403279937,53556.99934257963
SP-3031,422976.60444298317,135297.93588654953,861399.3189219711,182036.68085228518,265067.522838439,77141.04265574344
SP-3035,0.0,1090.6715125484297,6319.144572059146,49.87654320987651,49.9441964285714,0.0
SP-3036,470.8602908494612,0.0,453.39723342010706,349.06589954930337,540.0736005504185,99.70930232558138
SP-3037,470.3015315229998,199.4731468210281,1352.3543641908473,589.6600674928367,1112.8231520747738,708.2879967456064
SP-304,82155.61892508029,2337.406948008638,14979.432252733472,41064.90469719366,10048.793107551457,3477.1305252593306
SP-3040,1297.2983371728276,594.5716697211698,3338.496641634266,548.3365316087433,5830.510561334103,784.3583769814793
SP-3041,0.0,0.0,0.0,49.874686716791956,49.874686716791956,0.0
SP-3044,0.0,98.72881380722538,1870.6307575109972,49.91423670668953,247.55756017005086,0.0
SP-3046,1312.6094582539508,914.4973055796503,7060.0103811239915,1629.383625519837,1968.030790594888,1080.3256980358628
SP-3048,2213.513501265703,2465.4990771043804,7936.5251686980955,1482.542390534837,6751.643214047193,4203.704835897836
SP-305,197.86492797072282,0.0,10.608188714746078,99.71830985915491,2442.6261980508543,340.61492456778365
SP-3050,766384.0189828181,11552.512499684362,220076.49444858372,128227.77240452057,247602.73151874708,29153.36759302438
SP-3054,0.0,99.64049707602335,1089.6831656103448,296.845466155811,187.1089890584915,249.69134687916286
SP-3055,0.0,317.0156363843903,1343.0967024064132,0.0,55.25055187637963,0.0
SP-3058,1535.3177484147586,99.7275204359673,903.5666880174869,448.4256636215304,4191.909994893404,563.6494148846687
SP-3059,35.368421052631575,845.0370370370371,1536.8477438726595,294.5677633242999,2306.14633474358,1886.8726287262873
SP-306,1085.526491514431,464.27886710239653,2418.6040444149703,355.9230065359477,2387.9086556729208,700.6728745067262
SP-3060,119.88179669030734,202.16605177534322,2555.8749389790064,0.0,170.03627409967206,0.0
SP-3061,581.2660370365131,950.0,1615.3975475960624,1270.9296998420223,9460.903628987362,1683.4009031185478
SP-3062,49.74747474747474,0.0,0.0,0.0,821.6072177049311,98.61196070477503
SP-3063,2372.654279032287,99.69785817610546,2439.5715300284196,149.8123813305659,4826.958871047203,392.98540996594124
SP-3065,159.14602243634465,348.0176439186976,997.1665105354468,1647.4892231512154,1397.6469456469458,1938.5671508879832
SP-3066,195.33729336464518,0.0,456.1892103982854,0.0,1353.2757983031345,123.34602995903305
SP-3068,1022.9355738011459,0.0,744.850646182131,439.8814994082304,5070.786250742637,199.7024960428231
SP-3069,49.91197183098591,99.74811083123426,249.44102793503822,99.75723298571056,0.0,0.0
SP-3070,145487.63179551056,38505.727231588186,140851.00725540685,82365.30821324239,299628.2776449528,124798.31622927779
SP-3072,270714.4475797557,387054.2954421179,758891.7183698777,446126.0090081477,358096.0325715686,433001.83120941295
SP-3073,49.94444444444439,0.0,42.15656127546289,0.0,49.99999999999999,99.99999999999996
SP-3074,99.82346677899261,0.0,474.01590972199506,0.0,2277.7499495360607,0.0
SP-3083,20919.27414761921,238457.82193998847,24740.838103115668,509835.63686061325,16328.130926160984,198157.9384208122
SP-3084,812.2384107808766,3542.1852445461236,1992.7026027894672,5871.183596611834,4374.374781752868,14629.132648152952
SP-3094,10274.018170776428,27473.682596227583,21605.207454091767,51254.193467021505,27940.42937432011,76551.88825119693
SP-3097,640.1569264855915,0.0,646.2946112787831,129.7204707860445,1577.431127772104,49.85915492957746
SP-3098,980.3067001232768,0.0,1961.7790154789036,99.80198019801979,3377.173547725375,149.56800625309498
SP-31,688.0000411223577,1214.200694458138,4214.147126644392,1443.897483324438,2156.860567586027,1852.7867746116935
SP-3103,149.57535384438825,149.4476630007855,1244.444366790263,199.14442432500005,698.0763901615617,165.40757749712975
SP-3105,319.70159885383487,0.0,1143.7185078555394,49.839228295819936,10143.458286476987,503.77107792841014
SP-3106,762007.3927004748,25016.34571087074,910493.6095668509,57970.215243928345,460999.5209168221,35435.43394683209
SP-3107,7310.029454874738,171.14189944134077,7843.904820923157,307.81264044580143,7604.625352187453,348.97959183673464
SP-3109,242.0655549311145,49.96530187369877,324.3572714381241,124.44779927827047,3022.880044932352,249.41898660802545
SP-311,3107.7919885125766,379.6299943941452,3740.420918951057,398.14531873355395,2861.123209656614,631.5580171462524
SP-3110,5599.349021466874,18050.46917935761,37855.0285655339,10744.0282544022,5516.73047320635,7437.881810994342
SP-3111,349.1588721314234,0.0,1874.595742394154,0.0,749.9313322748044,49.909255898366595
SP-3112,397.0832460624809,2155.1361893053036,2913.5116986920816,1411.0347472922251,943.7520553899618,500.42827382810776
SP-3118,791.8165219529653,299.28635397171644,2461.0220596189542,149.25423180094347,1637.0644121139305,158.4435841064945
SP-3119,1214.803777379412,0.0,1588.7216765183384,0.0,1300.2888758104727,298.1582570907389
SP-312,83017.95256123961,257460.7008049354,311547.12348589196,282439.4745046146,146924.96094735965,601891.4786263544
SP-316,1577.0733453579144,99.7752808988764,1873.1152171601286,199.64726631393296,3644.7191143409477,755.7893500921799
SP-317,49.806067762249825,0.0,149.5165165165165,0.0,99.88207547169812,0.0
SP-319,298.8636363636364,0.0,791.4393396976928,0.0,498.1060606060606,0.0
SP-32,54027.145948400575,126037.28906129801,248979.8208200048,95210.01567243501,62753.043894310096,92057.62343684549
SP-328,1160.022868059171,49.85380116959063,2454.959045114435,0.0,2609.91200085539,0.0
SP-330,0.0,0.0,99.86962190352021,0.0,149.7302653507818,99.48453608247422
SP-331,49.92503748125932,0.0,49.92503748125932,0.0,0.0,0.0
SP-332,0.0,33.54812206572769,0.0,0.0,0.0,0.0
SP-333,12495.390126402634,15451.287027064614,31970.123515357896,14203.949278376342,19344.946838648077,20619.22750523728
SP-334,199.6920795134998,149.3951612903226,411.53210850882857,493.85975153576646,249.11602900725177,49.81273408239699
SP-335,2460.6798335222697,49.888888888888886,2465.138683415801,30.993723849372355,2751.7913908994205,354.92394746823004
SP-337,2803.387174649495,400.8549526847451,3470.418103755193,1454.718242105545,3218.529083104017,898.2009435158665
SP-34,29351.89412605445,9502.871451877169,36823.9213463248,23348.872164679495,73216.48873932952,59211.23988679692
SP-340,32576.655885153607,9242.162596034357,33458.03105378843,23584.678034664812,48858.70571283218,16929.01301348095
SP-341,98.37394166382924,0.0,199.63156837639025,175.8337365432971,755.6410811707738,299.36070286184696
SP-342,647.7113097010823,95.2625124515772,996.0873325710292,192.69028402655118,990.8600724951642,199.2669764685838
SP-343,50.0,0.0,99.53271028037383,49.98649609097366,49.58848614072491,0.0
SP-344,0.0,0.0,852.2274458005536,0.0,49.875,0.0
SP-346,1439.0242313860028,596.0494727653554,1784.79223474515,1041.3723496663497,3823.140692617524,748.7492626737153
SP-347,6454.604760829117,16261.77620544206,20743.484343195294,16035.823632320382,7665.843295070286,16639.158119200012
