bin,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-635,155.20685049483143,33.5637104994903,41.23603852109947,0.0,21.639660493827037,29.954159891719275,846.3564796205858,266.810986698592,14950.457962712975,6396.830442119086,2779.8774993968623,621.8814567234423,982.8939700935077,548.1601471506387,27257.45168591128,120.70447067389142
EAC-64,1245.4842384900592,671.6843445574647,114126.03417080596,8874.478450839879,1292394.1701384902,114259.50909513587,37770.12170584576,613.3877616942318,5535.219734060706,2044.1455567188004,160980.99202230675,36533.38360317901,83223.6339545745,883.9573150474641,12418.928029951901,1384701.1337851228
EAC-642,16339.01538232231,12116.882708826082,0.0,133.83221859991244,0.0,67.2520128824476,239313.45114806874,4682.3063336472005,169048.14541056173,74995.1743448572,594770.468634885,226371.7174258043,9438255.704657847,5282.119311408489,393073.86679052596,0.0
EAC-645,210440.48328130427,3682.9829699277116,73499.40919856136,2100.6440049535945,69145.47883587512,74877.62817974518,3917.269074415294,61622.08731949739,1011058.5080806956,470020.98829005903,16126.780797632915,3880.485937885708,14623.953818939895,65142.93179540528,2445295.535220931,22969.52189460736
EAC-646,1077089.3926092123,187413.3602162441,748.8648824152085,338.77038982482134,4691.008897283212,750.4484352681189,2845908.579314264,597448.827659919,8853706.5279231,3796414.4159384575,7308432.191236968,2769511.7259274274,13314521.986772342,607820.4432377772,21104152.481926806,507.6248164443514
EAC-647,97728.8372901539,22371.859929398735,0.0,80.13768259184673,43.251422615015755,207.16328279625043,2706668.7980167177,39185.004892149016,1472799.7822945842,649547.0814109767,8912679.941703973,2650788.0626532924,379866.59505102294,36630.02607018775,3537018.3596635107,126.5254331085417
EAC-649,62456.094042501376,27178.21085841466,299.1190262843489,864.5231657851159,148.67411786198974,234.7163978494624,189906.6188127834,148893.03367955703,202893.92709764017,86515.3698701977,468690.01235227176,188516.4267466807,2880467.3240326904,152842.7191116546,485709.98695834476,63.409946236559136
EAC-65,34533.715330891246,4074.031979134479,131.75689503116402,33.93004115226337,53.88533884535233,76.99431417624518,232762.68420779458,19895.76004992024,192801.58762919295,86448.07505483566,725999.5438440471,228360.444396453,5779822.5324855605,18949.20552944591,458069.55805913184,67.22812499999998
EAC-650,80510.52510664967,97289.00417286814,5356.464979819633,19153.7672171191,2716.8822459334133,5945.364366950392,321363.4382742894,45603.227705113335,174902.4415419635,73729.74308903005,818298.8613798703,316487.6981703293,8325193.126952123,47344.47092431842,409853.9588954971,6865.669152359191
EAC-653,34639.11368907838,12687.440618786319,2129.385654379047,336.1183656176859,5351.45469501217,1964.6113456727162,1672476.3565119829,28363.970581454832,874622.4759807017,395861.2476844492,6743672.372901684,1635825.4466885526,7250362.789858892,30036.947087745313,2040368.5466480288,1172.7117905759062
EAC-654,334652.4566673856,83804.1247838733,537.4692990739429,1397.6511397390686,5019.725764798324,942.269578334797,2670131.164478684,169129.95922879598,4007402.821587382,1720323.082348418,7002879.864233403,2603172.541122478,1413541.5451480853,167661.16003811243,9528259.173277406,447.89324266246535
EAC-657,181459.66825169986,5067.512191030309,1193.4186844863566,383.7681218010533,1536.7621474120156,1536.8822567138088,978506.3805481673,46217.99014726343,1972948.759672821,876942.7725571385,3684914.882152778,970208.1254249695,5259345.42062295,44128.60373329998,4745726.5362157095,700.4197015388222
EAC-66,800375.245088611,1807.655807308499,49123.176773060004,1692.325686179075,48601.44142615955,49162.76052444054,2939.4116943456206,176201.44950539272,2698943.8669695705,1129175.0911347575,8007.088127105789,3406.876852740099,17397.132313468926,178951.03554457834,6394927.200248163,20092.02748144633
EAC-662,195898.66380661327,19348.48946373781,105.2991271526302,241.70257428388294,359.3187719318615,265.3213937951711,1663029.7347398647,57950.01812141269,1883077.7191572718,836705.5040705457,5116312.155726612,1663892.9027924577,16993639.169780686,51138.688018262954,4442472.868840699,116.22660980387667
EAC-670,30291.256154487928,19735.59931448913,1914917.135353806,161831.50146087035,9830171.564143632,1901845.7047728025,6135.981499957687,2821.33055398652,18277.91632013155,8583.483395050403,25006.922452557774,6764.742094618743,15942.85077808155,2643.919032927484,42265.464688785956,786129.8729946747
EAC-673,14413.505331028278,48084.94445365252,292842.3650412285,53022.71261076125,427397.4513490188,290564.1196365476,26351.68658761043,5839.611117498432,36393.75639011272,17059.780771890764,96867.65380671463,27377.99535968623,59233.629174969465,5623.775397532257,81230.22369797443,140229.54339327873
EAC-674,159269.08983936397,299158.7471735175,2897.8845072572003,1225.290370775097,539.5635530977008,3249.3767579134797,172202.29375800453,117716.4477225086,673181.9647333939,278044.5485075771,428955.1403639377,164729.0818923283,12224604.130322857,112625.28125181684,1591484.4521400419,14106.670541227295
EAC-676,216478.8681184599,63216.25636499745,87.38866489375606,336.1181677946872,223.90522073918365,67.27670311185865,484301.05387021863,191485.05842135818,1040475.1451758449,446728.06885060715,1221724.0076557347,464220.80057858955,348299.25612806226,195562.56895310458,2474187.0801739334,33.63119072708111
EAC-68,66537.31299026209,1393.301082616586,140186.01680947875,5866.104382198556,103284.03951624753,135433.38703222785,1656.5522343957662,29438.754520992206,318447.1034562051,138946.0561652289,5434.379818751097,2015.3635271563503,8436.057328621675,30055.071737594157,749953.5703123385,52262.972842681884
EAC-682,446320.80703954573,210064.72113286296,266.4610698848669,258.6537127275508,16.0,67.14110146322164,4240803.230458558,459426.54508753907,3948177.990907208,1693270.3774896944,10761328.49705487,4091643.6394734904,2808074.735701363,456121.94294158614,9378674.226780927,66.87528344671202
EAC-683,38279.7704814449,7484.547001557849,34370.057707130836,4129.318015502659,94307.76496275193,32422.48920141403,335402.9955749747,7019.325745945769,159830.23495282207,75279.3326772609,1380127.8492678367,325239.442183805,154031.06429587308,7455.897776290041,392897.45812613174,43156.73276841336
EAC-69,13613.971514232635,15960.61086990668,34149.99637560899,27909.648500775675,73994.82516938579,33679.08445766572,17054.813971333624,7622.90987192686,12117.778822481778,4723.117670917802,51660.97024035123,17159.900161248872,49975.22238357023,6670.159692497778,27614.878821792965,7843.005661141653
EAC-691,1375.4779196834752,1101.5020549876028,34.0,0.0,0.0,14.603719599427748,841.139555984855,4411.3319171531875,5440.472581672211,3650.3487096686963,1239.8572342996663,226.61970034538433,751.7798110405399,4584.52277350629,11240.167277659228,0.0
EAC-695,2050.058935794406,2532.288353660874,2602951.7652979163,170547.99263487922,18439905.111256704,2550325.4663301557,14154.162206654646,7575.748993340256,65416.09781820108,34083.10944466113,6163.368157276487,13967.230943826004,18129.538885487404,6706.413891443608,158791.0415032989,361311.6338560558
EAC-707,507899.1850307583,474619.00229751406,14042.639738022091,870.9461984386804,3881.717159398048,14143.430990738614,6722.563955445619,40430.05511850775,835130.3452590897,379084.5224811161,30742.180217009653,7942.166568138357,21737.480110534314,41108.159685173014,2021350.7495722955,17047.326409705995
