bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,Trans_abun
NP-2,ERR599175,MES,0.03232358958794407,28.0,0.04312744036937734,12.0,0.16165110144672185,2.0,0.1193338107223752,1.0,0.005409204667059105
NP-2,SRR3965586,deep,0.06263940245368557,12.0,0.06020177863284652,6.0,0.2759823273387579,1.0,0.05864262051337596,1.0,0.014643632467068757
NP-2,SRR3968063,deep,0.07124049151550628,45.0,0.07124049151550628,9.0,0.20317024896901975,2.0,0.0701832180303189,4.0,0.07008982781363497
NP-20,ERR598971,MES,0.08867433937782071,1419.0,0.06223458373892449,53.0,0.0957938080363258,29.0,,,0.0
NP-20,ERR598995,DCM,0.07689407750121606,1389.0,0.06594705917072484,55.0,0.0924243088898237,24.0,,,0.0
NP-20,ERR599087,DCM,0.07183176635450961,1412.0,0.05654886474198342,53.0,0.09904010309005803,29.0,,,0.0
NP-22,ERR598971,MES,0.1955048434893375,952.0,0.19439300311756857,58.0,0.16158115776208473,19.0,,,0.0
NP-22,ERR598980,MES,0.19783342091528405,995.0,0.19757776693756268,59.0,0.18626598672570674,20.0,,,0.0
NP-22,ERR598995,DCM,0.08238478984039987,640.0,0.061272933348142426,53.0,0.08569296672254505,10.0,,,0.0
NP-22,ERR599052,SRF,0.0510088904273009,62.0,0.0636656068375061,5.0,0.027970195019313044,1.0,,,0.0
NP-22,ERR599087,DCM,0.08739719779086359,738.0,0.07200317256893982,54.0,0.07929449057677841,12.0,,,0.0
NP-22,ERR599115,MES,0.2250146067859855,958.0,0.2439357734369731,50.0,0.19399210626136595,19.0,,,0.0
