sequence_id	class_fst_stage	class_snd_stage
c_000000027602	bacteria	n/a
c_000000027615	bacteria	n/a
c_000000027620	bacteria	n/a
c_000000027674	bacteria	n/a
c_000000027675	bacteria	n/a
c_000000027720	bacteria	n/a
c_000000027751	bacteria	n/a
c_000000027834	bacteria	n/a
c_000000027871	bacteria	n/a
c_000000027895	bacteria	n/a
c_000000027896	bacteria	n/a
c_000000027920	bacteria	n/a
c_000000027960	bacteria	n/a
c_000000028006	archaea	n/a
c_000000028058	bacteria	n/a
c_000000028085	bacteria	n/a
c_000000028116	bacteria	n/a
c_000000028141	bacteria	n/a
c_000000028155	archaea	n/a
c_000000028179	bacteria	n/a
c_000000028190	bacteria	n/a
c_000000028200	bacteria	n/a
c_000000028208	bacteria	n/a
c_000000028228	bacteria	n/a
c_000000028272	bacteria	n/a
c_000000028306	bacteria	n/a
c_000000028320	bacteria	n/a
c_000000028338	bacteria	n/a
c_000000028431	bacteria	n/a
c_000000028465	bacteria	n/a
c_000000028474	archaea	n/a
c_000000028493	bacteria	n/a
c_000000028512	bacteria	n/a
