sequence_id	class_fst_stage	class_snd_stage
NODE_312_length_19693_cov_160.76	archaea	n/a
NODE_313_length_19655_cov_23.3806	bacteria	n/a
NODE_314_length_19642_cov_4.79093	bacteria	n/a
NODE_315_length_19606_cov_63.2927	archaea	n/a
NODE_316_length_19594_cov_14.8889	bacteria	n/a
NODE_317_length_19567_cov_28.1321	bacteria	n/a
NODE_318_length_19487_cov_333.369	archaea	n/a
NODE_319_length_19395_cov_3.9529	unknown	n/a
NODE_320_length_19339_cov_5.95447	archaea	n/a
NODE_321_length_19261_cov_6.05748	archaea	n/a
NODE_322_length_19253_cov_24.0618	bacteria	n/a
NODE_323_length_19239_cov_9.34054	bacteria	n/a
NODE_324_length_19239_cov_6.88099	bacteria	n/a
NODE_325_length_19214_cov_8.77509	bacteria	n/a
NODE_326_length_19212_cov_47.2231	archaea	n/a
NODE_327_length_19194_cov_30.6627	bacteria	n/a
NODE_328_length_19177_cov_9.41518	archaea	n/a
NODE_329_length_19168_cov_9.13546	bacteria	n/a
NODE_330_length_19162_cov_38.0893	archaea	n/a
NODE_331_length_19162_cov_5.91689	prokarya	n/a
NODE_332_length_19135_cov_7.80582	bacteria	n/a
NODE_333_length_19125_cov_8.69858	unknown	n/a
NODE_334_length_19115_cov_9.3373	bacteria	n/a
NODE_335_length_19113_cov_24.2699	bacteria	n/a
NODE_336_length_19043_cov_23.9661	bacteria	n/a
NODE_337_length_19040_cov_13.9627	prokarya	n/a
NODE_338_length_19032_cov_26.6117	bacteria	n/a
NODE_339_length_19027_cov_8.78806	bacteria	n/a
NODE_340_length_19006_cov_22.0742	bacteria	n/a
NODE_341_length_18995_cov_26.0383	prokarya	n/a
NODE_342_length_18980_cov_7.86658	bacteria	n/a
NODE_343_length_18903_cov_6.50064	archaea	n/a
NODE_344_length_18898_cov_8.4157	bacteria	n/a
NODE_345_length_18834_cov_11.097	bacteria	n/a
NODE_346_length_18826_cov_9.22881	bacteria	n/a
NODE_347_length_18816_cov_70.8387	bacteria	n/a
NODE_348_length_18794_cov_20.5917	bacteria	n/a
NODE_349_length_18751_cov_13.7527	bacteria	n/a
NODE_350_length_18701_cov_8.42132	bacteria	n/a
NODE_351_length_18668_cov_8.15006	prokarya	n/a
NODE_352_length_18664_cov_16.2945	prokarya	n/a
NODE_353_length_18659_cov_6.04881	archaea	n/a
NODE_354_length_18649_cov_22.079	bacteria	n/a
NODE_355_length_18621_cov_33.4262	bacteria	n/a
NODE_356_length_18589_cov_16.7054	bacteria	n/a
NODE_357_length_18578_cov_8.40825	archaea	n/a
NODE_358_length_18566_cov_5.7105	bacteria	n/a
NODE_359_length_18527_cov_39.8872	archaea	n/a
NODE_360_length_18526_cov_8.52195	bacteria	n/a
NODE_361_length_18524_cov_9.70475	bacteria	n/a
NODE_362_length_18505_cov_6.44276	archaea	n/a
NODE_363_length_18502_cov_12.6331	bacteria	n/a
NODE_364_length_18473_cov_67.0597	archaea	n/a
NODE_365_length_18417_cov_7.67618	bacteria	n/a
NODE_366_length_18372_cov_5.02762	bacteria	n/a
NODE_367_length_18370_cov_18.8957	bacteria	n/a
NODE_368_length_18346_cov_6.0129	prokarya	n/a
NODE_369_length_18316_cov_7.66349	bacteria	n/a
NODE_370_length_18308_cov_24.3609	bacteria	n/a
NODE_371_length_18292_cov_3.87492	bacteria	n/a
NODE_372_length_18242_cov_11.3654	bacteria	n/a
NODE_373_length_18236_cov_5.41609	bacteria	n/a
NODE_374_length_18212_cov_52.9837	archaea	n/a
NODE_375_length_18110_cov_7.87123	archaea	n/a
NODE_376_length_18046_cov_14.7195	bacteria	n/a
NODE_377_length_18014_cov_8.35141	bacteria	n/a
NODE_378_length_17826_cov_7.98104	bacteria	n/a
NODE_379_length_17803_cov_5.09753	archaea	n/a
NODE_380_length_17756_cov_12.5834	bacteria	n/a
NODE_381_length_17744_cov_11.2101	bacteria	n/a
NODE_382_length_17735_cov_65.1398	prokarya	n/a
NODE_383_length_17673_cov_58.2083	prokarya	n/a
NODE_384_length_17664_cov_17.8054	archaea	n/a
NODE_385_length_17658_cov_13.8926	prokarya	n/a
NODE_386_length_17645_cov_57.7465	prokarya	n/a
NODE_387_length_17621_cov_29.0607	bacteria	n/a
NODE_388_length_17607_cov_39.9079	bacteria	n/a
NODE_389_length_17600_cov_9.75879	bacteria	n/a
NODE_390_length_17579_cov_8.52636	bacteria	n/a
NODE_391_length_17552_cov_16.5021	bacteria	n/a
NODE_392_length_17520_cov_64.6479	prokarya	n/a
NODE_393_length_17518_cov_7.97681	archaea	n/a
NODE_394_length_17492_cov_7.77984	bacteria	n/a
NODE_395_length_17491_cov_6.27099	bacteria	n/a
NODE_396_length_17475_cov_16.5138	prokarya	n/a
NODE_397_length_17442_cov_14.7969	bacteria	n/a
NODE_398_length_17432_cov_7.94481	bacteria	n/a
NODE_399_length_17431_cov_6.18911	prokarya	n/a
NODE_400_length_17422_cov_25.2775	bacteria	n/a
NODE_401_length_17420_cov_7.58307	bacteria	n/a
NODE_402_length_17418_cov_10.5258	bacteria	n/a
NODE_403_length_17406_cov_27.1459	archaea	n/a
NODE_404_length_17382_cov_8.71478	bacteria	n/a
NODE_405_length_17357_cov_7.61178	bacteria	n/a
NODE_406_length_17331_cov_29.803	bacteria	n/a
NODE_407_length_17314_cov_8.81024	bacteria	n/a
NODE_408_length_17231_cov_4.51153	bacteria	n/a
NODE_409_length_17195_cov_8.08296	bacteria	n/a
NODE_410_length_17188_cov_6.79449	archaea	n/a
NODE_411_length_17154_cov_25.0116	prokarya	n/a
NODE_412_length_17144_cov_6.90321	bacteria	n/a
NODE_413_length_17132_cov_6.25719	archaea	n/a
NODE_414_length_17086_cov_11.7949	archaea	n/a
NODE_415_length_17058_cov_24.4726	prokarya	n/a
NODE_416_length_17007_cov_55.1984	prokarya	n/a
NODE_417_length_17003_cov_14.838	bacteria	n/a
NODE_418_length_16992_cov_8.40255	bacteria	n/a
NODE_419_length_16959_cov_62.1897	archaea	n/a
NODE_420_length_16957_cov_8.54597	bacteria	n/a
NODE_421_length_16918_cov_12.8153	bacteria	n/a
NODE_422_length_16904_cov_4.91661	bacteria	n/a
NODE_423_length_16887_cov_92.9916	unknown	n/a
NODE_424_length_16863_cov_26.1568	prokarya	n/a
NODE_425_length_16713_cov_9.96212	bacteria	n/a
NODE_426_length_16677_cov_4.98315	archaea	n/a
NODE_427_length_16664_cov_22.2367	bacteria	n/a
NODE_428_length_16649_cov_8.19031	bacteria	n/a
NODE_429_length_16637_cov_6.6972	bacteria	n/a
NODE_430_length_16637_cov_6.67097	bacteria	n/a
NODE_431_length_16616_cov_26.4358	bacteria	n/a
NODE_432_length_16593_cov_7.645	bacteria	n/a
NODE_433_length_16560_cov_14.9513	bacteria	n/a
NODE_434_length_16560_cov_8.22393	bacteria	n/a
NODE_435_length_16556_cov_22.4183	bacteria	n/a
NODE_436_length_16510_cov_15.7968	bacteria	n/a
NODE_437_length_16503_cov_4.08822	bacteria	n/a
NODE_438_length_16479_cov_8.30717	bacteria	n/a
NODE_439_length_16461_cov_58.4608	archaea	n/a
NODE_440_length_16442_cov_6.19137	archaea	n/a
NODE_441_length_16438_cov_15.6689	bacteria	n/a
NODE_442_length_16437_cov_6.95452	bacteria	n/a
NODE_443_length_16424_cov_14.4822	prokarya	n/a
NODE_444_length_16410_cov_14.1617	bacteria	n/a
NODE_445_length_16406_cov_4.44542	archaea	n/a
NODE_446_length_16405_cov_15.7925	archaea	n/a
NODE_447_length_16392_cov_14.1672	bacteria	n/a
NODE_448_length_16370_cov_8.26319	bacteria	n/a
NODE_449_length_16370_cov_7.29893	bacteria	n/a
NODE_450_length_16361_cov_12.6487	bacteria	n/a
NODE_451_length_16286_cov_39.9868	bacteria	n/a
NODE_452_length_16257_cov_8.21152	bacteria	n/a
NODE_453_length_16234_cov_13.4636	bacteria	n/a
NODE_454_length_16227_cov_14.0613	prokarya	n/a
NODE_455_length_16219_cov_7.43504	bacteria	n/a
NODE_456_length_16217_cov_23.1935	bacteria	n/a
NODE_457_length_16208_cov_10.2037	archaea	n/a
NODE_458_length_16204_cov_6.26218	bacteria	n/a
NODE_459_length_16169_cov_8.64242	unknown	n/a
NODE_460_length_16163_cov_7.7644	bacteria	n/a
NODE_462_length_16116_cov_85.1139	unknown	n/a
NODE_463_length_16089_cov_5.77211	bacteria	n/a
NODE_464_length_16063_cov_7.93485	archaea	n/a
NODE_465_length_16048_cov_33.6246	archaea	n/a
NODE_466_length_16038_cov_35.58	bacteria	n/a
NODE_467_length_16027_cov_16.44	bacteria	n/a
NODE_468_length_16014_cov_24.5571	bacteria	n/a
NODE_469_length_15996_cov_42.2551	archaea	n/a
NODE_470_length_15984_cov_5.32563	eukarya	n/a
NODE_471_length_15977_cov_15.7992	bacteria	n/a
NODE_472_length_15964_cov_38.8403	unknown	n/a
NODE_473_length_15895_cov_7.10152	bacteria	n/a
NODE_474_length_15838_cov_16.9295	bacteria	n/a
NODE_475_length_15802_cov_21.6291	eukarya	n/a
NODE_476_length_15784_cov_29.1387	bacteria	n/a
NODE_477_length_15781_cov_64.7391	bacteria	n/a
NODE_478_length_15743_cov_10.3973	prokarya	n/a
NODE_479_length_15723_cov_25.5066	bacteria	n/a
NODE_480_length_15709_cov_33.4713	prokarya	n/a
NODE_481_length_15705_cov_8.31955	bacteria	n/a
NODE_482_length_15618_cov_71.8903	bacteria	n/a
NODE_483_length_15617_cov_43.9539	bacteria	n/a
NODE_484_length_15615_cov_5.72776	archaea	n/a
NODE_485_length_15572_cov_16.9134	bacteria	n/a
NODE_486_length_15567_cov_27.1857	bacteria	n/a
NODE_487_length_15563_cov_16.5264	bacteria	n/a
NODE_488_length_15532_cov_5.31938	prokarya	n/a
NODE_489_length_15515_cov_5.63984	archaea	n/a
NODE_490_length_15484_cov_9.27481	bacteria	n/a
NODE_491_length_15474_cov_4.98651	bacteria	n/a
NODE_492_length_15450_cov_9.57869	bacteria	n/a
NODE_493_length_15445_cov_23.8296	bacteria	n/a
NODE_494_length_15441_cov_3.91291	archaea	n/a
NODE_495_length_15374_cov_65.3912	bacteria	n/a
NODE_496_length_15353_cov_24.6429	unknown	n/a
NODE_497_length_15295_cov_9.4603	bacteria	n/a
NODE_498_length_15291_cov_8.2754	bacteria	n/a
NODE_499_length_15287_cov_6.237	archaea	n/a
NODE_500_length_15272_cov_8.24788	bacteria	n/a
NODE_501_length_15252_cov_13.7118	bacteria	n/a
NODE_502_length_15237_cov_6.93433	archaea	n/a
NODE_503_length_15237_cov_4.1949	prokarya	n/a
