Tara Oceans ID,BioSamples ID,(ENA accession #),Station,Depth,Filter,Input_Reads,Assembl,Contigs,Mean Size (bp),N50 (bp),Accession Number (run),Related biomolecular data,Sample Code
TARA_N000002366,SAMEA2732729,ERS493270,TARA_131,DCM,180 - 2000,352M,25 %,95917,497bp,670bp,"ERR1711895,ERR1712120",http://www.ebi.ac.uk/ena/data/view/ERS493270,131DCM1SSUU14
TARA_N000002362,SAMEA2732785,ERS493274,TARA_131,DCM,20 - 180,412M,17 %,411692,465bp,581bp,"ERR1712077,ERR1712020",http://www.ebi.ac.uk/ena/data/view/ERS493274,131DCM2QQSS14
TARA_N000002358,SAMEA2732732,ERS493278,TARA_131,DCM,5 - 20,381M,28 %,499408,481bp,593bp,"ERR1712050,ERR1711979",http://www.ebi.ac.uk/ena/data/view/ERS493278,131DCM1MMQQ14
TARA_N000002348,SAMEA2623016,ERS493222,TARA_131,SRF,0.8 - 2000,394M,36 %,552241,528bp,692bp,"ERR1712178,ERR1711912",http://www.ebi.ac.uk/ena/data/view/ERS493222,131SUR1GGZZ14
TARA_N000002352,SAMEA2623018,ERS493224,TARA_131,SRF,0.8 - 5,376M,33 %,573040,643bp,926bp,"ERR1712054,ERR1711975",http://www.ebi.ac.uk/ena/data/view/ERS493224,131SUR1GGMM14
TARA_N000002364,SAMEA2732906,ERS493233,TARA_131,SRF,180 - 2000,545M,60 %,1128707,621bp,971bp,"ERR1719202,ERR1719419",http://www.ebi.ac.uk/ena/data/view/ERS493233,131SUR1SSUU14
TARA_N000002360,SAMEA2732135,ERS493237,TARA_131,SRF,20 - 180,395M,39 %,462171,583bp,816bp,"ERR1712117,ERR1712027",http://www.ebi.ac.uk/ena/data/view/ERS493237,131SUR1QQSS14
TARA_N000002356,SAMEA2732139,ERS493241,TARA_131,SRF,5 - 20,496M,38 %,1078908,551bp,771bp,"ERR1719493,ERR1719499",http://www.ebi.ac.uk/ena/data/view/ERS493241,131SUR1MMQQ14
TARA_N000002422,SAMEA2623090,ERS493351,TARA_132,DCM,0.8 - 2000,346M,30 %,495348,642bp,902bp,"ERR1711883,ERR1711981",http://www.ebi.ac.uk/ena/data/view/ERS493351,132DCM1GGZZ14
TARA_N000002418,SAMEA2623092,ERS493353,TARA_132,DCM,0.8 - 5,296M,27 %,511860,596bp,790bp,"ERR1712132,ERR1712072",http://www.ebi.ac.uk/ena/data/view/ERS493353,132DCM1GGMM14
TARA_N000002402,SAMEA2732797,ERS493336,TARA_132,DCM,180 - 2000,374M,44 %,814288,657bp,969bp,"ERR1719292,ERR1719228",http://www.ebi.ac.uk/ena/data/view/ERS493336,132DCM1SSUU14
TARA_N000002414,SAMEA2732914,ERS493362,TARA_132,DCM,5 - 20,313M,33 %,427431,509bp,631bp,"ERR1712066,ERR1711930",http://www.ebi.ac.uk/ena/data/view/ERS493362,132DCM1MMQQ14
TARA_N000002420,SAMEA2623070,ERS493311,TARA_132,SRF,0.8 - 2000,391M,14 %,526120,517bp,661bp,"ERR1719372,ERR1719230",http://www.ebi.ac.uk/ena/data/view/ERS493311,132SUR1GGZZ14
TARA_N000002416,SAMEA2623072,ERS493313,TARA_132,SRF,0.8 - 5,374M,37 %,704676,608bp,833bp,"ERR1711988,ERR1711987",http://www.ebi.ac.uk/ena/data/view/ERS493313,132SUR1GGMM14
TARA_N000002400,SAMEA2732736,ERS493320,TARA_132,SRF,180 - 2000,331M,43 %,341035,587bp,790bp,"ERR1711926,ERR1711973",http://www.ebi.ac.uk/ena/data/view/ERS493320,132SUR1SSUU14
TARA_N000002404,SAMEA2732790,ERS493324,TARA_132,SRF,20 - 180,419M,38 %,752362,670bp,1024bp,"ERR1719485,ERR1719200",http://www.ebi.ac.uk/ena/data/view/ERS493324,132SUR1QQSS14
TARA_N000002412,SAMEA2732843,ERS493328,TARA_132,SRF,5 - 20,304M,32 %,431764,452bp,532bp,"ERR1712040,ERR1711972",http://www.ebi.ac.uk/ena/data/view/ERS493328,132SUR1MMQQ14
TARA_N000002183,SAMEA2623226,ERS493555,TARA_135,DCM,0.8 - 2000,349M,25 %,320626,598bp,851bp,"ERR1711927,ERR1712091",http://www.ebi.ac.uk/ena/data/view/ERS493555,135DCM1GGZZ14
TARA_N000002191,SAMEA2623228,ERS493557,TARA_135,DCM,0.8 - 5,151M,5 %,128336,480bp,565bp,"ERR1711903,ERR1712162",http://www.ebi.ac.uk/ena/data/view/ERS493557,135DCM1GGMM14
TARA_N000002199,SAMEA2732986,ERS493564,TARA_135,DCM,180 - 2000,498M,60 %,659708,680bp,1067bp,"ERR1719470,ERR1719318",http://www.ebi.ac.uk/ena/data/view/ERS493564,135DCM1SSUU14
TARA_N000002195,SAMEA2732990,ERS493568,TARA_135,DCM,20 - 180,470M,43 %,907372,578bp,799bp,"ERR1719205,ERR1719350",http://www.ebi.ac.uk/ena/data/view/ERS493568,135DCM1QQSS14
TARA_N000002187,SAMEA2732994,ERS493572,TARA_135,DCM,5 - 20,426M,20 %,722038,362bp,379bp,"ERR1719497,ERR1719476",http://www.ebi.ac.uk/ena/data/view/ERS493572,135DCM1MMQQ14
TARA_N000002172,SAMEA2623246,ERS493592,TARA_135,MES,0.8 - 3,228M,28 %,349963,341bp,341bp,"ERR1712034,ERR1711925",http://www.ebi.ac.uk/ena/data/view/ERS493592,135MES1GGKK14
TARA_N000002171,SAMEA2623247,ERS493593,TARA_135,MES,3 - 2000,71M,8 %,148163,390bp,430bp,"ERR1711864,ERR1712059",http://www.ebi.ac.uk/ena/data/view/ERS493593,135MES1KKZZ14
TARA_N000002464,SAMEA2623204,ERS493517,TARA_135,SRF,0.8 - 2000,360M,38 %,528436,620bp,850bp,"ERR1712149,ERR1712193",http://www.ebi.ac.uk/ena/data/view/ERS493517,135SUR1GGZZ14
TARA_N000002179,SAMEA2623206,ERS493519,TARA_135,SRF,0.8 - 5,477M,24 %,947529,569bp,777bp,"ERR1719181,ERR1719155",http://www.ebi.ac.uk/ena/data/view/ERS493519,135SUR1GGMM14
TARA_N000002175,SAMEA2732932,ERS493526,TARA_135,SRF,180 - 2000,401M,54 %,472659,688bp,1117bp,"ERR1719494,ERR1719505",http://www.ebi.ac.uk/ena/data/view/ERS493526,135SUR1SSUU14
TARA_N000002193,SAMEA2732980,ERS493530,TARA_135,SRF,20 - 180,133M,0 %,19211,345bp,350bp,"ERR1711940,ERR1712143",http://www.ebi.ac.uk/ena/data/view/ERS493530,135SUR1QQSS14
TARA_N000002185,SAMEA2732214,ERS493536,TARA_135,SRF,5 - 20,496M,37 %,1159041,587bp,821bp,"ERR1719176,ERR1719480",http://www.ebi.ac.uk/ena/data/view/ERS493536,135SUR1MMQQ14
TARA_N000002959,SAMEA2623264,ERS493610,TARA_136,SRF,0.8 - 2000,390M,26 %,840717,583bp,802bp,"ERR1719441,ERR1719257",http://www.ebi.ac.uk/ena/data/view/ERS493610,136SUR1GGZZ14
TARA_N000002961,SAMEA2623266,ERS493612,TARA_136,SRF,0.8 - 5,377M,28 %,909793,575bp,790bp,"ERR1719171,ERR1719241",http://www.ebi.ac.uk/ena/data/view/ERS493612,136SUR1GGMM14
TARA_N000002967,SAMEA2732594,ERS493617,TARA_136,SRF,180 - 2000,348M,25 %,278938,561bp,783bp,"ERR1711889,ERR1712240",http://www.ebi.ac.uk/ena/data/view/ERS493617,136SUR1SSUU14
TARA_N000002965,SAMEA2732598,ERS493621,TARA_136,SRF,20 - 180,373M,43 %,535204,715bp,1169bp,"ERR1719179,ERR1719422",http://www.ebi.ac.uk/ena/data/view/ERS493621,136SUR1QQSS14
TARA_N000002963,SAMEA2732373,ERS493626,TARA_136,SRF,5 - 20,385M,20 %,664504,497bp,623bp,"ERR1719277,ERR1719363",http://www.ebi.ac.uk/ena/data/view/ERS493626,136SUR1MMQQ14
